area,ciudad,conglomerado,vivienda,hogar,estrato4,fexp4,sel,upm,id_hogar,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3,s101p3a,s101p3b,s101p4,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5c,s101p5d,s101p5e,s101p5f,s101p5g,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p8,s101p9a,s101p9b,s101p9c,s101p9d,s101p10,s101p111,s101p11111,s101p112,s101p11112,s101p113,s101p11113,s101p114,s101p11114,s101p115,s101p11115,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p127,s101p13,s101p141,s101p142,s101p143,s101p144,s101p151,s101p152,s101p153,s101p154,s101p155,s101p156,s101p157,s101p158,s101p159,s101p1510,s101p1511,s101p16,s101p161,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183,S12P9,S12P13,S12P16,S12P16C,P1,NACIONAL,ciudad_num,P12,P14
1,011550,001001,11,1,0111,269.817352294922,1,011550001001,011550001001111,2,2,2,2,2,2,3,3,3,3,3,3,2, , ,1,6,2,0,3,3,3,3,3,3,8,1,1,2,1,1,2,2,2,1,1,2,2,1,2,2,3,1,2,2,1,2, , , , , , , , , , ,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,3,3,3,3,4,2,4,5,5,1,2,1,1,2,1,11550,1,2
1,011550,001001,15,1,0111,269.817352294922,1,011550001001,011550001001151,1,1,1,2,2,2,2,2,2,8,8,8,1,8,0,1,6,0,0,1,8,8,8,3,8,8,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,4,4,3,3,4,1,1,1,1,1,1,11550,1,1
1,011550,001403,01,1,0111,299.797058105469,1,011550001403,011550001403011,2,2,2,2,2,2,3,3,3,3,3,3,1,6,0,1,6,6,0,3,3,8,3,3,3,3,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,3,1,2,2,1,1,2, ,2, ,2, ,2, ,1,40,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2, ,5,5,3,4,5,3,4,2,5,1,1,1,1,2,1,11550,1,2
1,011550,001403,03,1,0111,299.797058105469,1,011550001403,011550001403031,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,5,5,0,3,3,8,3,3,3,8,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,3,1,2,2,1,2, , , , , , , , , , ,2,2,1,2,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,3,5,5,3,5,4,5,1,1,1,1,2,1,11550,1,2
1,011550,001403,05,1,0111,299.797058105469,1,011550001403,011550001403051,2,2,2,2,2,2,3,3,3,3,3,3,1,4,4,1,4,4,0,3,3,3,3,3,3,8,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,3,1,2,2,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,3,3,3,3,3,3,3,3,3,1,1,1,1,2,1,11550,2,2
1,011550,001403,07,1,0111,299.797058105469,1,011550001403,011550001403071,2,1,1,1,1,1,3,2,2,3,3,2,1,2,2,1,6,6,0,3,3,8,3,3,2,8,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,3,1,2,2,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,5,4,4,4,1,1,1,1,1,1,11550,2,2
1,011550,001403,09,1,0111,299.797058105469,1,011550001403,011550001403091,2,2,2,2,2,2,3,3,3,3,3,3,1,10,4,1,16,14,2,3,3,8,3,3,3,8,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,3,1,1,2,1,1,2, ,2, ,2, ,2, ,1,30,2,2,2,2,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,4,5,5,5,5,5,1,1,5,5,1,1,1,1,2,1,11550,1,2
1,011550,001403,11,1,0111,299.797058105469,1,011550001403,011550001403111,1,1,1,1,1,1,6,2,2,2,2,2,1,6,0,1,6,4,2,3,3,8,3,3,3,8,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,3,1,2,2,1,2, , , , , , , , , , ,1,2,1,2,1,1,1,3,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2, ,5,5,3,3,3,3,5,3,5,1,1,1,1,1,1,11550,1,2
1,011550,001703,05,1,0111,380.31396484375,1,011550001703,011550001703051,2,2,2,2,2,2,3,3,3,3,3,3,2, , ,1,1,0,0,8,8,8,8,8,8,8,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,11550,2,2
1,011550,001703,07,1,0111,380.31396484375,1,011550001703,011550001703071,2,2,2,2,2,2,3,3,3,3,3,3,2, , ,1,2,1,0,8,8,8,8,8,8,8,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,1,1,1,2,1,1,1,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2, ,4,4,4,4,4,4,4,5,4,1,1,1,2,2,1,11550,1,1
1,011550,001703,09,1,0111,380.31396484375,1,011550001703,011550001703091,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,4,4,0,3,3,3,3,3,3,3,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,3,2,2,2,2,1,2, ,2, ,2, ,2, ,1, ,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,4,5,5,5,5,5,1,1,1,1,1,1,1,2,1,11550,1,2
1,011550,001703,13,1,0111,380.31396484375,1,011550001703,011550001703131,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,6,6,0,3,3,3,3,3,3,8,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,3,1,2,2,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,5,3,3,5,1,1,1,1,2,1,11550,2,2
1,011550,001703,15,1,0111,380.31396484375,1,011550001703,011550001703151,2,2,2,2,2,2,3,3,3,3,3,3,2, , ,1,4,4,0,8,8,8,3,8,8,8,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,3,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2, ,5,5,5,1,1,1,99,99,99,1,1,1,1,2,1,11550,2,1
2,011550,900701,03,1,0121,383.479064941406,1,011550900701,011550900701031,1,1,1,1,1,1,2,2,2,2,2,2,2, , ,1,1,1,0,8,8,8,2,8,8,8,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,99,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,11550,2,2
2,011550,900701,05,1,0121,383.479064941406,1,011550900701,011550900701051,1,2,2,2,2,2,6,3,3,3,3,3,1,6,0,1,8,8,0,3,3,7,3,3,3,8,2,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,3,1,1,3,2, , , , , , , , , , ,2,2,1,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,5,2,4,1,3,2,1,1,2,1,1,1,1,11550,1,2
2,011550,900701,07,1,0121,383.479064941406,1,011550900701,011550900701071,2,2,2,2,2,2,3,3,3,8,8,8,1,2,0,1,3,3,0,3,8,8,3,3,3,8,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,3,3,3,3,3,1,3,4,3,1,2,1,1,2,1,11550,2,2
2,011550,900701,09,1,0121,383.479064941406,1,011550900701,011550900701091,2,2,2,2,2,2,3,3,3,8,8,8,2, , ,1,6,6,0,8,8,8,3,3,8,8,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,99,99,4,3,4,4,3,3,2,1,2,1,1,2,1,11550,2,2
2,011550,900701,13,1,0121,383.479064941406,1,011550900701,011550900701131,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,5,5,0,8,8,8,3,3,8,8,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,3,1,1,1,1,2, , , , , , , , , , ,2,1,2,2,2,1,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,4,5,5,4,5,1,2,5,3,1,2,1,1,2,1,11550,1,2
1,020150,000803,01,1,0212,108.28182220459,1,020150000803,020150000803011,2,2,2,2,2,2,3,3,3,3,3,3,2, , ,1,2,2,0,8,3,8,3,3,3,8,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,4,4,4,4,4,4,5,5,5,1,1,1,2,2,1,20150,2,2
1,020150,000803,03,1,0212,108.28182220459,1,020150000803,020150000803031,2,2,2,2,2,2,3,3,3,3,3,3,2, , ,1,1,1,0,8,3,3,3,3,3,3,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,6,1,5,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,5,5,1,1,1,1,2,1,20150,2,1
1,020150,000803,05,1,0212,108.28182220459,1,020150000803,020150000803051,1,2,2,2,2,2,6,3,3,3,3,3,2, , ,1,4,4,0,8,3,3,3,3,3,3,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,1,1,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,5,3,1,5,1,1,1,1,1,1,20150,1,2
1,020150,000803,07,1,0212,108.28182220459,1,020150000803,020150000803071,2,2,2,2,2,2,3,3,3,3,3,3,2, , ,1,1,1,0,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,3,1,5,5,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,5,5,1,2,1,1,2,1,20150,2,2
1,020150,001702,09,1,0211,169.714431762695,1,020150001702,020150001702091,2,2,2,2,2,2,3,3,3,3,3,3,1,10,4,1,8,8,0,3,3,3,3,3,3,3,2,2,1,1,1,2,1,2,1,1,2,2,1,2,2,3,1,1,1,1,1,2, ,2, ,1,80,2, ,2, ,1,2,1,2,1,1,2,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,1,1,1,1,2,1,20150,1,1
1,020150,001702,13,1,0211,169.714431762695,1,020150001702,020150001702131,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,2,2,0,3,3,3,3,3,3,3,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,3,1,1,1,1,2, , , , , , , , , , ,1,2,1,2,1,2,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,3,3,4,1,1,1,1,2,1,20150,1,2
1,020150,002603,01,1,0211,178.232925415039,1,020150002603,020150002603011,2,2,2,2,2,2,3,3,3,3,3,3,1,6,0,1,8,8,0,3,8,8,8,3,3,8,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,3,1,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,2, ,3,3,4,3,3,3,4,3,3,1,1,1,1,2,1,20150,2,2
1,020150,002603,07,1,0211,178.232925415039,1,020150002603,020150002603071,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,6,6,0,3,8,8,8,3,3,8,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,1,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,5,4,4,4,1,1,1,1,2,1,20150,1,2
1,020150,002603,13,1,0211,178.232925415039,1,020150002603,020150002603131,2,2,2,2,2,2,3,3,3,3,3,3,1,4,0,1,6,6,0,3,8,8,8,3,8,8,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,3,1,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,1,2,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,4,4,3,3,3,4,4,4,1,1,1,1,2,1,20150,1,1
1,020150,003503,01,1,0212,105.000556945801,1,020150003503,020150003503011,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,5,5,0,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,5,5,5,5,5,1,5,5,1,1,1,1,1,2,1,20150,2,2
1,020150,003503,03,1,0212,105.000556945801,1,020150003503,020150003503031,2,2,2,2,2,2,3,3,3,3,3,3,1,1,0,1,3,3,0,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,6,5,5,1,2, , , , , , , , , , ,2,2,2,2,2,1,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,5,5,1,1,1,1,2,1,20150,1,2
1,020150,003503,05,1,0212,105.000556945801,1,020150003503,020150003503051,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,4,4,0,3,3,3,3,3,3,3,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,3,1,2,2,1,2, , , , , , , , , , ,2,2,2,2,2,1,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,5,5,1,1,1,1,2,1,20150,1,2
1,020150,003805,09,1,0212,140.000732421875,1,020150003805,020150003805091,2,2,2,2,2,2,3,3,3,3,8,3,1,2,0,1,5,5,0,3,3,3,3,3,3,8,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,1,2,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,3,3,4,3,1,4,1,1,1,1,2,1,20150,1,2
1,020150,003805,11,1,0212,140.000732421875,1,020150003805,020150003805111,2,2,2,2,2,2,3,3,3,3,8,3,1,2,0,1,2,2,0,3,3,8,3,3,3,8,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,3,5,5,1,3,5,3,3,5,1,1,1,1,2,1,20150,1,2
1,020150,003805,13,1,0212,140.000732421875,1,020150003805,020150003805131,1,2,2,2,2,2,6,3,3,8,8,8,2, , ,1,1,0,0,8,8,8,3,8,8,8,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,6,2,2,1,2, , , , , , , , , , ,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1,5,99,99,99,99,99,99,99,1,3,1,2,1,1,20150,1,2
1,020150,004301,09,1,0211,172.990783691406,1,020150004301,020150004301091,2,2,2,2,2,2,3,3,3,3,3,3,1,4,0,1,6,6,0,3,3,3,3,3,3,8,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,3,1,5,1,1,2, , , , , , , , , , ,1,1,1,1,1,1,1,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,99,3,3,5,1,1,1,1,2,1,20150,1,2
1,020150,004601,03,1,0211,172.990783691406,1,020150004601,020150004601031,2,2,2,2,2,2,3,3,3,3,8,3,1,4,0,1,8,8,0,3,3,8,3,3,3,8,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,3,1,1,1,1,2, , , , , , , , , , ,1,2,1,2,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,3,5,3,1,1,3,3,3,5,1,1,1,1,2,1,20150,1,2
1,020150,004601,07,1,0211,172.990783691406,1,020150004601,020150004601071,2,2,2,2,2,2,3,3,3,3,8,3,1,2,0,1,5,5,0,3,3,3,3,3,3,3,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,3,5,3,1,3,3,3,3,3,1,1,1,1,2,1,20150,1,2
1,020150,004601,09,1,0211,172.990783691406,1,020150004601,020150004601091,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,6,6,0,3,3,3,3,3,3,8,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,2,5,5,1,1,5,3,3,3,1,1,1,1,2,1,20150,1,2
2,020150,903102,05,1,0222,446.109832763672,1,020150903102,020150903102051,2,2,2,2,2,2,3,3,3,3,3,3,2, , ,1,4,4,0,8,3,3,3,3,3,8,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,3,1,5,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,99,4,1,5,1,2,1,2,2,1,20150,2,2
2,020150,903102,13,1,0222,446.109832763672,1,020150903102,020150903102131,1,1,1,2,2,2,6,2,2,8,8,8,2, , ,1,5,5,0,8,8,8,8,3,8,8,1,1,1,1,2,2,2,2,1,1,2,1,1,1,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,3,3,5,1,3,1,2,1,1,20150,2,2
2,020150,903603,01,1,0221,363.596038818359,1,020150903603,020150903603011,1,2,2,2,2,2,6,3,3,3,8,8,2, , ,1,4,0,0,8,8,8,3,8,3,8,2,2,2,2,2,2,2,2,3,1,3,3,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,1,2,4,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2, ,5,5,5,5,5,3,5,5,5,2,3,3,2,1,1,20150,1,1
2,020150,903603,07,1,0221,363.596038818359,1,020150903603,020150903603071,1,2,2,2,2,2,6,4,4,8,8,8,2, , ,1,4,1,0,8,8,8,7,3,3,8,1,2,1,2,2,2,2,2,3,1,3,3,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,1,2,4,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2, ,5,5,5,5,5,4,5,5,5,2,3,3,2,1,1,20150,1,2
2,020150,903603,11,1,0221,363.596038818359,1,020150903603,020150903603111,1,2,2,2,2,2,6,4,4,8,8,4,1,1,0,1,7,7,0,4,8,8,3,4,8,8,1,1,1,1,1,2,2,2,3,1,3,3,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,1,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,99,5,1,2,2,2,2,1,1,20150,1,2
2,020150,905701,01,1,0221,198.908416748047,1,020150905701,020150905701011,1,2,2,2,2,2,6,4,4,8,8,8,1,2,0,1,3,3,0,3,3,8,3,4,4,8,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,3,3,1,3,3,2,1,1,20150,2,2
2,020150,905701,03,1,0221,198.908416748047,1,020150905701,020150905701031,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,2,0,0,3,3,3,3,3,3,3,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2, ,99,99,99,99,99,99,99,5,5,1,3,3,2,2,1,20150,2,2
2,020150,905701,05,1,0221,198.908416748047,1,020150905701,020150905701051,1,2,2,2,2,2,6,4,4,8,8,4,2, , ,1,4,4,0,8,8,8,3,4,4,8,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,3,5,5,1,3,3,3,3,3,1,3,3,2,1,1,20150,1,2
2,020150,905701,11,1,0221,198.908416748047,1,020150905701,020150905701111,1,2,2,2,2,2,6,4,4,8,8,4,2, , ,1,3,3,0,8,8,8,3,3,4,8,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,3,3,3,3,3,3,1,3,3,2,1,1,20150,2,2
2,020150,905701,15,1,0221,198.908416748047,1,020150905701,020150905701151,2,2,2,2,2,2,3,3,3,3,8,8,2, , ,1,2,2,0,8,3,8,3,3,3,8,2,1,2,2,2,2,2,2,3,1,3,3,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,1,5,5,3,3,3,3,3,3,2,3,3,2,2,1,20150,2,2
2,020150,907202,01,1,0221,241.989959716797,1,020150907202,020150907202011,1,2,1,2,2,2,6,3,2,3,3,3,2, , ,1,2,2,0,3,3,3,3,3,3,3,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,5,5,1,2,2,2,1,1,20150,2,2
2,020150,907202,03,1,0221,241.989959716797,1,020150907202,020150907202031,1,2,2,2,2,2,6,3,3,3,8,8,2, , ,1,3,2,0,3,3,8,3,3,3,8,2,2,2,2,2,2,3,3,1,1,2,1,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,1,2,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,99,5,5,99,99,99,99,1,5,3,2,1,1,20150,1,2
2,020150,907202,11,1,0221,241.989959716797,1,020150907202,020150907202111,1,2,2,2,2,2,6,3,3,3,3,3,2, , ,1,4,1,0,8,3,3,3,8,3,3,1,2,1,1,1,2,2,2,1,1,2,1,1,2,3,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,5,5,1,1,1,2,1,1,20150,2,2
2,020150,907202,13,1,0221,241.989959716797,1,020150907202,020150907202131,1,2,2,2,2,2,6,3,3,8,8,8,2, , ,1,4,2,0,8,8,8,3,3,3,8,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,5,5,1,3,3,2,1,1,20150,2,2
2,020150,907202,15,1,0221,241.989959716797,1,020150907202,020150907202151,1,2,2,2,2,2,6,4,4,4,8,4,2, , ,1,4,1,0,4,8,8,3,4,8,8,2,3,3,3,3,3,3,3,1,1,2,1,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,99,5,5,5,5,5,1,1,5,5,1,3,5,4,1,1,20150,2,2
2,020151,000104,01,1,0222,138.001754760742,1,020151000104,020151000104011,1,2,2,2,2,2,6,3,3,3,8,3,2, , ,1,5,1,0,8,8,8,3,8,8,8,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,3,3,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,4,5,5,4,4,99,4,4,4,1,1,6,4,1,1,20151,2,2
2,020151,000104,03,1,0222,138.001754760742,1,020151000104,020151000104031,2,2,2,2,2,2,3,3,3,3,8,3,1,4,0,1,6,2,0,8,3,8,3,3,8,8,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,5,5,5,1,1,3,1,2,1,20151,1,2
2,020151,000104,07,1,0222,138.001754760742,1,020151000104,020151000104071,1,2,2,2,2,2,6,3,3,3,8,8,2, , ,1,9,9,0,8,8,8,3,3,8,8,2,2,1,1,1,1,1,2,1,1,2,3,1,1,2,3,3,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,4,5,4,5,4,5,4,5,4,2,1,2,1,1,1,20151,2,1
2,020151,000104,09,1,0222,138.001754760742,1,020151000104,020151000104091,2,2,2,2,2,2,3,3,3,3,8,3,1,2,0,1,2,0,0,8,8,8,3,8,8,8,2,3,3,3,3,3,3,3,2,1,2,2,1,2,2,1,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,4,4,4,1,5,2,4,2,1,20151,2,2
2,020151,000104,13,1,0222,138.001754760742,1,020151000104,020151000104131,1,2,2,2,2,2,6,3,3,3,8,8,2, , ,1,3,3,0,8,8,8,3,3,8,8,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,3,3,1,1,1,1,2, ,2, ,1,20,2, ,2, ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,4,5,4,5,4,5,4,5,4,1,1,2,1,1,1,20151,2,2
2,020153,900101,01,1,0221,257.703582763672,1,020153900101,020153900101011,1,1,1,1,2,1,6,4,4,4,8,4,1,2,0,1,2,2,0,7,4,8,6,7,4,8,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,3,1,1,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,4,4,5,3,4,4,5,1,3,3,2,1,1,20153,2,2
2,020153,900101,03,1,0221,257.703582763672,1,020153900101,020153900101031,1,2,2,2,2,2,6,4,4,4,4,4,2, , ,1,4,2,0,8,4,8,1,4,4,8,1,2,1,2,2,2,3,3,2,1,2,2,2,2,2,1,1,1,1,1,2, , , , , , , , , , ,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,99,1,1,1,5,5,5,1,2,6,3,1,1,20153,1,2
