area,ciudad,conglomerado,vivienda,hogar,estrato4,fexp4,sel,upm,id_hogar,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3,s101p3a,s101p3b,s101p4,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5c,s101p5d,s101p5e,s101p5f,s101p5g,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p8,s101p9a,s101p9b,s101p9c,s101p9d,s101p10,s101p111,s101p11111,s101p112,s101p11112,s101p113,s101p11113,s101p114,s101p11114,s101p115,s101p11115,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p127,s101p13,s101p141,s101p142,s101p143,s101p144,s101p151,s101p152,s101p153,s101p154,s101p155,s101p156,s101p157,s101p158,s101p159,s101p1510,s101p1511,s101p16,s101p161,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183,S12P9,S12P13,S12P16,S12P16C,P1,NACIONAL,ciudad_num,P12,P14
2,210155,900503,03,1,2122,129.452941894531,1,210155900503,210155900503031,1,2,2,1,1,2,6,4,4,7,7,4,1,2,0,1,4,4,0,7,8,8,6,7,4,8,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,3,1,5,5,1,1,2, ,1,300,2, ,2, ,2, ,2,2,2,2,2,2,2,3,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2, ,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,210155,2,2
1,220150,001103,07,1,2212,105.279121398926,1,220150001103,220150001103071,1,1,1,1,1,1,6,3,3,3,3,3,1,2,0,1,8,8,0,3,3,3,3,3,3,8,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2,3,1,1,1,1,1,2, ,1,300,2, ,2, ,2, ,2,2,2,2,2,1,1,3,2,2,2,2,1,1,2,1,1,2,1,1,2,1,2,1,4,4,5,5,4,4,2,2,4,4,1,1,1,1,1,1,220150,1,2
1,160150,002808,01,1,1613,25.5091285705566,1,160150002808,160150002808011,2,2,2,2,2,2,3,3,3,3,3,3,1,6,6,1,10,10,0,3,3,3,3,3,3,3,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,3,2,1,1,1,1,2, ,1,250,2, ,2, ,2, ,2,2,1,1,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,5,5,1,5,1,1,1,1,2,1,160150,1,2
2,160351,900103,05,1,1622,47.1958770751953,1,160351900103,160351900103051,1,2,2,1,2,2,6,3,3,1,3,3,1,2,0,1,4,4,0,3,3,3,5,3,3,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,3,1,2,2,1,1,2, ,1,250,2, ,2, ,2, ,1,1,1,2,1,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,2,3,3,5,1,1,1,1,1,1,160351,1,2
1,170150,151906,03,1,2512,1022.49993896484,1,170150151906,170150151906031,1,1,1,2,2,1,2,2,2,3,3,2,1,12,0,1,6,6,1,3,2,3,2,3,2,8,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,2,2,2,1,1,2, ,1,250,2, ,2, ,2, ,1,1,1,1,1,1,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,4,5,1,4,5,5,1,1,1,1,1,1,170150,1,2
1,220150,001401,13,1,2212,81.2153167724609,1,220150001401,220150001401131,2,2,2,2,2,2,3,3,3,3,3,8,1,2,0,1,6,6,0,3,3,3,3,3,3,8,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,3,2,2,2,2,1,2, ,1,250,2, ,2, ,2, ,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,4,5,4,5,3,4,1,1,1,2,2,1,220150,1,2
1,240250,006602,01,1,2412,233.056121826172,1,240250006602,240250006602011,2,2,2,2,2,2,3,3,3,3,8,8,1,2,0,1,2,2,0,3,3,3,6,3,3,8,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,3,1,5,2,5,1,2, ,1,250,2, ,2, ,2, ,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,5,2,5,3,3,2,1,4,5,1,1,1,1,2,1,240250,1,2
2,080455,900501,15,1,0823,117.804916381836,1,080455900501,080455900501151,1,2,2,2,2,2,6,3,3,8,8,3,1,4,0,1,14,14,0,8,8,8,5,8,3,8,1,1,1,1,1,2,3,3,1,1,2,2,1,1,2,3,6,2,2,1,1,2, ,1,240,2, ,2, ,2, ,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,1,5,5,1,2,5,3,1,1,80455,2,2
1,090150,088702,11,1,2611,1824.71936035156,1,090150088702,090150088702111,2,1,2,2,2,2,3,1,3,3,3,3,1,10,0,1,8,8,0,1,3,3,3,3,3,3,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,3,1,1,1,1,1,2, ,1,240,2, ,2, ,2, ,2,2,2,1,1,1,1,3,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,1,1,5,5,1,1,1,1,1,1,90150,1,2
1,120550,025301,03,1,1212,515.714721679688,1,120550025301,120550025301031,2,2,2,2,2,2,3,3,3,3,3,3,1,4,0,1,9,9,0,3,3,2,3,3,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,2,1,1,2, ,1,240,2, ,2, ,2, ,1,1,1,1,1,1,1,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,2,5,4,1,1,2,1,1,2,1,120550,1,2
